n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
325 | Chen, Chuan | University of California, Irvine | 2008 | male | 23 | 53 | 2017 | 87 | 213 | 2017 | 4 | 3 | 5 | 2 | 3 | 6 | 8 | 9 | 7 | 5 | 5 | 5 | 3 | 10 |  9 | 14 | 16 | 14 | 12 | 22 | 28 | 25 | 24 | 30 | 18 | 18 | 23 | 33 |
326 | Das, Rupam | Vanderbilt University | 2008 | male | 4 | 5 | 2014 | 9 | 20 | 2017 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 0 |  0 | 1 | 0 | 1 | 1 | 6 | 2 | 3 | 1 | 3 | 2 | 1 | 4 | 3 |
327 | Guo, Fulai | University of California, Santa Barbara | 2008 | male | 5 | 11 | 2016 | 8 | 25 | 2017 | 0 | 0 | 2 | 0 | 0 | 3 | 1 | 3 | 1 | 2 | 0 | 2 | 1 | 1 |  0 | 0 | 2 | 2 | 0 | 4 | 3 | 4 | 3 | 5 | 1 | 4 | 2 | 2 |
328 | Harker, Justin J. | University of California, Santa Cruz | 2008 | male | 2 | 0 | 2008 | 13 | 2 | 2013 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 5 | 4 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
329 | Cooper, Randall L. | Harvard University | 2008 | male | 10 | 2 | 2010 | 16 | 4 | 2014 | 0 | 1 | 1 | 3 | 2 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 5 | 4 | 4 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 |
330 | Laver, Conor Murray | University of California, Berkeley | 2008 | male | 4 | 2 | 2009 | 7 | 4 | 2016 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 |
331 | Matsui, Tatsuki | The University of Iowa | 2008 | male | 1 | 0 | 2008 | 7 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 2 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 1 | 1 | 0 |
332 | Wang, Jue | The Ohio State University | 2008 | female | 35 | 63 | 2017 | 146 | 326 | 2017 | 5 | 7 | 7 | 5 | 4 | 7 | 6 | 5 | 13 | 9 | 4 | 8 | 8 | 7 |  29 | 17 | 30 | 22 | 24 | 24 | 35 | 37 | 44 | 33 | 31 | 35 | 48 | 38 |
333 | Reid, Beth Ann | Princeton University | 2008 | female | 2 | 11 | 2016 | 5 | 51 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 3 | 3 | 2 | 1 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 4 | 0 | 1 | 3 | 8 | 9 | 7 | 5 | 8 | 4 | 6 |
334 | Straughn, Amber N. | Arizona State University | 2008 | female | 3 | 4 | 2015 | 5 | 28 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 3 | 0 | 2 | 3 | 1 | 7 | 3 | 6 | 1 | 4 | 1 |
